event_id,sales_minute,tickets_sold_in_minute
48C03084FB95FA7E,2025-03-20T17:14:00.000+00:00,40
48C03084FB95FA7E,2025-03-20T17:40:00.000+00:00,100
48C03084FB95FA7E,2025-03-20T18:03:00.000+00:00,40
48C03084FB95FA7E,2025-03-20T17:58:00.000+00:00,120
48C03084FB95FA7E,2025-03-22T01:16:00.000+00:00,40
48C03084FB95FA7E,2025-03-20T17:30:00.000+00:00,80
48C03084FB95FA7E,2025-03-22T17:19:00.000+00:00,40
48C03084FB95FA7E,2025-03-22T01:33:00.000+00:00,40
48C03084FB95FA7E,2025-03-20T17:55:00.000+00:00,40
48C03084FB95FA7E,2025-03-23T17:31:00.000+00:00,20
48C03084FB95FA7E,2025-03-20T17:54:00.000+00:00,40
48C03084FB95FA7E,2025-03-24T00:03:00.000+00:00,40
48C03084FB95FA7E,2025-03-21T01:27:00.000+00:00,40
48C03084FB95FA7E,2025-03-20T19:15:00.000+00:00,40
48C03084FB95FA7E,2025-03-23T17:30:00.000+00:00,40
48C03084FB95FA7E,2025-03-21T16:33:00.000+00:00,40
48C03084FB95FA7E,2025-03-20T17:36:00.000+00:00,20
48C03084FB95FA7E,2025-03-23T17:03:00.000+00:00,40
48C03084FB95FA7E,2025-03-24T01:52:00.000+00:00,40
48C03084FB95FA7E,2025-03-23T21:14:00.000+00:00,40
48C03084FB95FA7E,2025-03-20T21:05:00.000+00:00,40
48C03084FB95FA7E,2025-03-20T17:21:00.000+00:00,60
48C03084FB95FA7E,2025-03-20T17:15:00.000+00:00,60
48C03084FB95FA7E,2025-03-24T20:00:00.000+00:00,60
48C03084FB95FA7E,2025-03-20T17:38:00.000+00:00,40
48C03084FB95FA7E,2025-03-21T01:19:00.000+00:00,20
48C03084FB95FA7E,2025-03-24T14:31:00.000+00:00,20
48C03084FB95FA7E,2025-03-21T17:11:00.000+00:00,40
48C03084FB95FA7E,2025-03-21T17:34:00.000+00:00,60
48C03084FB95FA7E,2025-03-21T18:48:00.000+00:00,40
48C03084FB95FA7E,2025-03-20T18:22:00.000+00:00,40
48C03084FB95FA7E,2025-03-22T03:09:00.000+00:00,40
48C03084FB95FA7E,2025-03-21T16:23:00.000+00:00,40
48C03084FB95FA7E,2025-03-20T18:14:00.000+00:00,20
